screen_rank,listing_id,link_url,listing_title,sale_price,usable_area,price_per_m2,monthly_condo_fee,yearly_iptu,parking_spaces,advertiser_name,aquisition_date,diligence_flags,snapshot_note
1,2666436700,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-69m2-venda-RS374000-id-2666436700/,"Aptos, venda, Super lançamento e melhor de mercado, 69 m², 2 Dor uma suíte Morretes - Itapema - SC",374000,69,5420.29,290,490,1,Airton Investimentos Imobiliários BC,2025-01-11 00:00:00.000,preco_pedido_abaixo_p05;preco_m2_abaixo_p05,lead da base de jan-2025; disponibilidade e dados exigem verificacao
2,2646969738,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-70m2-venda-RS450000-id-2646969738/,APARTAMENTO SEMI MOBILIADO NO MORRETES,450000,70,6428.57,250,100,1,Scheeren & Silveira Imobiliaria LTDA,2025-01-11 00:00:00.000,preco_pedido_abaixo_p05;preco_m2_abaixo_p05,lead da base de jan-2025; disponibilidade e dados exigem verificacao
3,2688799819,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-66m2-venda-RS515000-id-2688799819/,"Apartamentos em Itapema, com 02 dorms, sendo 01 suíte!!! Morretes",515000,66,7803.03,300,500,1,Nei Costa,2025-01-11 00:00:00.000,preco_pedido_abaixo_p05,lead da base de jan-2025; disponibilidade e dados exigem verificacao
4,2694368874,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-70m2-venda-RS520001-id-2694368874/,"APARTAMENTO COM 02 DORMS., SENDO 01 SUITE, 02 VAGAS!!! Itapema Morretes!!!",520001,70,7428.59,300,1000,2,Nei Costa,2025-01-11 00:00:00.000,preco_pedido_abaixo_p05;preco_m2_abaixo_p05,lead da base de jan-2025; disponibilidade e dados exigem verificacao
5,2768930018,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-70m2-venda-RS530000-id-2768930018/,APARTAMENTO PARA VENDA NO MORRETES,530000,70,7571.43,275,480,1,Scheeren & Silveira Imobiliaria LTDA,2025-01-11 00:00:00.000,preco_m2_abaixo_p05,lead da base de jan-2025; disponibilidade e dados exigem verificacao
6,2682115621,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-67m2-venda-RS548000-id-2682115621/,"Apartamento cobertura, 67 m², 2 quartos, 1 vaga priv, 2 elev, em Morretes - Itapema - SC",548000,67,8179.1,390,750,1,Airton Investimentos Imobiliários BC,2025-01-11 00:00:00.000,sem_alerta_quantitativo,lead da base de jan-2025; disponibilidade e dados exigem verificacao
7,2682113805,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-66m2-venda-RS549000-id-2682113805/,"Apto cobertura a venda, 66 m², 2 quartos, 1 vaga privativa, 2 elev, em Morretes - Itapema - SC",549000,66,8318.18,380,800,1,Airton Investimentos Imobiliários BC,2025-01-11 00:00:00.000,sem_alerta_quantitativo,lead da base de jan-2025; disponibilidade e dados exigem verificacao
8,2706129695,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-70m2-venda-RS550000-id-2706129695/,"APARTAMENTO PRONTO, COM 02 DORMS, SENDO 01 SUITE EM ITAPEMA!!! Morretes",550000,70,7857.14,350,500,1,Nei Costa,2025-01-11 00:00:00.000,sem_alerta_quantitativo,lead da base de jan-2025; disponibilidade e dados exigem verificacao
9,2560637284,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-70m2-venda-RS550001-id-2560637284/,"Apartamento com 02 dorm., mobiliado, aprox. 600m mar!!! Itapema",550001,70,7857.16,300,500,1,Nei Costa,2025-01-11 00:00:00.000,sem_alerta_quantitativo,lead da base de jan-2025; disponibilidade e dados exigem verificacao
10,2754146101,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-69m2-venda-RS568000-id-2754146101/,"2 SUITES LAZER, VALOR PRA INVESTIDOR - Itapema - SC",568000,69,8231.88,350,950,1,LE ATIVA IMOVEIS,2025-01-11 00:00:00.000,sem_alerta_quantitativo,lead da base de jan-2025; disponibilidade e dados exigem verificacao
11,2769472515,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-69m2-venda-RS569390-id-2769472515/,Apartamento em Rua 406 B - Morretes - Itapema/SC,569390,69,8252.03,450,800,1,USUÁRIO NEWCORE,2025-01-11 00:00:00.000,sem_alerta_quantitativo,lead da base de jan-2025; disponibilidade e dados exigem verificacao
12,2769850382,https://www.vivareal.com.br/imovel/apartamento-2-quartos-morretes-bairros-itapema-com-garagem-69m2-venda-RS579760-id-2769850382/,Apartamento em Rua 416 - Morretes - Itapema/SC,579760,69,8402.32,300,850,1,USUÁRIO NEWCORE,2025-01-11 00:00:00.000,sem_alerta_quantitativo,lead da base de jan-2025; disponibilidade e dados exigem verificacao
